method,k,fraction,coverage,quality,redundancy
Diversity-only,79,0.9875,1.0,0.995790513805287,0.7140800621420395
Diversity-only,80,1.0,1.0,0.9957156180149047,0.7216681152708333
Random,1,0.0125,0.16666666666666666,0.9996380846325167,0.0
Random,2,0.025,0.3333333333333333,0.9958366302559568,0.21577469848619713
Random,3,0.0375,0.3333333333333333,0.9972132793506735,0.12525381189817833
Random,4,0.05,0.5,0.9970837408404631,0.21665915063757962
Random,5,0.0625,0.5,0.9971748226499992,0.3672377498230984
Random,6,0.075,0.6666666666666666,0.997113770648049,0.3145896897046244
Random,7,0.0875,0.6666666666666666,0.9973620949578029,0.333804247595773
Random,8,0.1,0.6666666666666666,0.9975213785426229,0.30773956060871466
Random,9,0.1125,0.6666666666666666,0.9968661548692462,0.34998418781369023
Random,10,0.125,0.6666666666666666,0.9971584423359081,0.37685640405852705
Random,11,0.1375,0.6666666666666666,0.9955110627672569,0.3691850354673197
Random,12,0.15,0.6666666666666666,0.995782344817354,0.3810093192165677
Random,13,0.1625,0.6666666666666666,0.9956887196307348,0.39575749381938086
Random,14,0.175,0.6666666666666666,0.9959579473830583,0.4171203147264893
Random,15,0.1875,0.6666666666666666,0.9961650674376171,0.45600395672232186
Random,16,0.2,0.6666666666666666,0.9959535475142098,0.48934848869125913
Random,17,0.2125,0.6666666666666666,0.9944745630022451,0.49975124487832556
Random,18,0.225,0.6666666666666666,0.9946384702078905,0.5112845650302512
Random,19,0.2375,0.6666666666666666,0.9944678696087137,0.5356738377430251
Random,20,0.25,0.6666666666666666,0.9945105311741494,0.5271603050838864
Random,21,0.2625,0.6666666666666666,0.994058194966483,0.5540462911698867
Random,22,0.275,0.8333333333333334,0.994202596242619,0.54390892597693
Random,23,0.2875,0.8333333333333334,0.994432845438992,0.5311522725904216
Random,24,0.3,0.8333333333333334,0.9945909081853403,0.5342401629269747
Random,25,0.3125,0.8333333333333334,0.994642281918289,0.5502154183809173
Random,26,0.325,0.8333333333333334,0.9947507482297024,0.5734903657291981
Random,27,0.3375,0.8333333333333334,0.9949451649619356,0.5734900502864517
Random,28,0.35,0.8333333333333334,0.9950920443898924,0.5779196689692869
Random,29,0.3625,0.8333333333333334,0.9950804811836683,0.5974812723251683
Random,30,0.375,0.8333333333333334,0.9952305453223864,0.6150275486809106
Random,31,0.3875,0.8333333333333334,0.9953843986990837,0.6378288160878122
Random,32,0.4,0.8333333333333334,0.9955286362397373,0.6560197457837209
Random,33,0.4125,0.8333333333333334,0.9954840526279023,0.6553425129103613
Random,34,0.425,1.0,0.9951833005336006,0.6460356145888562
Random,35,0.4375,1.0,0.9951087564448047,0.6583169839650147
Random,36,0.45,1.0,0.9948027840435602,0.6516146332479686
Random,37,0.4625,1.0,0.9943202432601039,0.6482971072038612
Random,38,0.475,1.0,0.9944637924491481,0.6504725873751396
Random,39,0.4875,1.0,0.994602318544309,0.645645803914633
Random,40,0.5,1.0,0.9946792708899796,0.6443841434962305
Random,41,0.5125,1.0,0.9946753576597821,0.646890098399884
Random,42,0.525,1.0,0.9947090249887125,0.6427193802129407
Random,43,0.5375,1.0,0.9947285078243753,0.6438510101398937
Random,44,0.55,1.0,0.9948483144647304,0.6531277352223037
Random,45,0.5625,1.0,0.9947703212411361,0.6578948858055794
Random,46,0.575,1.0,0.9946622457918661,0.672312916819492
Random,47,0.5875,1.0,0.9945976100405972,0.6766045874145254
Random,48,0.6,1.0,0.9947014599427767,0.6751786990703416
Random,49,0.6125,1.0,0.9946917089212729,0.6775132349628117
Random,50,0.625,1.0,0.9947744894421794,0.6906624892151894
Random,51,0.6375,1.0,0.9948384843428476,0.6903880316379603
